Passenger ID,Longest run
148,11
463,5
471,12
496,3
833,17
1088,7
1238,9
1342,18
1580,9
1591,16
1645,9
1829,12
1959,4
2122,9
2142,6
2366,4
2659,2
2866,3
3175,9
3749,10
3794,14
3918,7
3997,10
4101,6
4519,3
4818,9
4900,8
4935,3
5156,7
5300,4
5518,4
5803,13
6336,9
6357,8
6397,2
6466,4
6620,2
6654,4
6658,12
7240,4
7253,5
7340,7
7554,6
7754,8
7833,10
7880,4
7982,3
7993,4
8086,4
8389,4
8592,7
8638,3
9376,15
9427,8
9465,11
9852,4
9900,4
10206,6
10362,1
10623,3
10817,1
11033,6
11141,5
11317,4
11458,4
11748,3
11858,9
12027,4
12046,3
12799,4
12940,8
13285,6
13289,5
13623,9
13832,2
13840,6
14450,2
14570,3
14832,2
15447,2
243,11
392,19
540,9
623,6
737,6
858,3
897,8
1025,15
1084,5
1127,3
1395,3
1460,6
1483,6
1507,12
1522,6
1721,7
1896,7
1990,8
2235,4
2387,12
2563,15
2580,11
2811,12
2999,2
3179,5
3226,8
3475,10
3698,11
4158,9
4161,12
4190,16
4219,5
4929,9
5614,4
6393,3
6623,2
6773,9
7168,6
7417,11
8105,8
8803,8
8928,6
8932,5
9182,6
9564,1
9879,6
10081,2
10121,4
10230,5
10462,5
10703,8
10914,6
11280,13
11316,7
11500,2
11710,4
12006,6
12367,2
12471,3
12611,2
12626,2
12715,2
13261,7
13622,4
14075,6
14148,2
14423,2
14465,4
14514,4
14536,4
14876,2
15003,2
15004,2
15100,2
15254,2
31,2
516,8
1139,6
1143,20
1270,9
1303,14
1322,11
1339,7
1352,17
1618,9
1650,9
1699,9
1903,13
2393,3
2572,10
2711,6
2776,20
2821,6
2996,11
3000,4
3213,3
3352,3
3488,12
3704,4
3761,4
4391,13
4489,8
5071,10
5117,8
5173,3
5287,5
5345,13
5984,15
6266,5
6482,4
6559,4
6622,15
6825,7
7281,1
7387,5
7850,13
7879,9
8222,8
8257,12
8407,6
8924,6
9162,2
9383,12
9454,7
9517,8
9558,1
10708,9
10798,11
10862,7
11025,8
11393,8
11639,3
11800,4
11936,2
12139,3
12393,2
12998,2
13009,5
13060,3
13207,2
13483,5
13601,4
13648,5
13875,3
13910,3
14289,1
14324,2
14377,2
14420,2
14714,5
14837,2
14997,2
15162,3
15173,5
15207,4
15296,2
85,2
137,9
251,5
451,16
580,9
808,3
1265,18
1884,13
1975,14
2025,2
2231,17
2259,9
2443,10
2488,18
2525,4
2721,6
2748,4
2923,5
3089,11
3098,7
3220,15
3490,14
3796,5
3876,13
3986,5
4042,14
4078,6
4186,4
4239,9
4364,14
4684,7
4937,5
5074,10
5155,7
5223,6
5308,7
5482,8
6361,7
6597,6
6598,4
7066,7
7098,9
7120,15
7530,10
7644,6
7910,7
8109,4
8650,7
8743,8
8779,2
8911,5
9071,3
9169,2
9946,5
10468,6
10745,4
10768,5
11146,5
11630,3
11713,5
12292,3
12366,2
13188,3
13465,2
13508,3
13898,7
13916,3
14315,2
14809,2
14958,2
15382,3
65,4
458,5
879,5
883,8
1223,12
1977,12
2096,5
2249,8
2392,11
2622,3
2655,12
2656,16
2833,6
2924,5
3377,3
3425,6
3561,9
3566,8
3834,4
3913,17
4000,7
4294,16
4307,16
4383,7
4957,14
5157,9
5217,9
5433,4
5513,14
5578,9
5682,9
5695,9
5697,7
5740,16
5907,8
6154,6
6301,5
6500,3
6934,3
6962,5
7152,4
7324,9
7333,6
7576,7
7661,18
8211,11
8501,13
8577,6
8665,5
8678,6
8716,6
9153,5
9206,7
9403,3
9597,1
9647,3
9775,3
10032,7
10395,7
10527,5
10567,5
10632,8
10788,6
10815,5
10840,1
11352,8
11482,2
11520,4
11745,8
11928,2
12210,13
12249,2
12284,8
12322,2
12607,4
13225,3
13329,7
13398,6
13504,5
13765,4
13795,5
13923,3
14660,3
14713,5
14752,5
14770,6
14779,5
14944,2
15292,2
15429,2
53,6
255,14
481,13
588,10
799,3
804,8
898,9
970,10
1157,7
2027,6
2156,14
2247,9
2559,12
2802,14
2914,8
3028,10
3042,6
3105,11
3631,17
3790,2
4092,20
4357,8
4477,5
5110,4
5527,4
5847,7
5995,11
6176,9
6396,12
6552,6
6722,7
6832,12
6864,15
6866,11
6890,9
6937,10
7109,4
7404,2
7567,5
7584,8
7810,21
7892,7
7987,10
8229,12
8701,2
9181,2
9344,4
9575,5
9675,5
9914,7
10090,2
10257,6
10264,8
10416,8
10597,11
10786,9
11143,9
11243,9
12184,8
12207,2
12264,3
12694,4
13468,5
13500,2
13997,3
14054,2
14124,2
14365,2
14458,2
14846,2
14874,2
15026,2
15070,5
15146,5
15221,2
15462,2
133,5
296,10
472,6
853,11
1466,11
1718,4
1766,10
1787,7
1888,15
2035,10
2238,7
2542,6
2874,8
3062,3
3242,9
3306,6
3691,10
4097,17
4291,9
4396,9
4583,9
4612,10
4799,6
4838,5
4859,4
5061,4
5100,11
5140,3
5178,6
5670,5
5929,5
6010,14
6376,4
6557,4
7206,3
7222,8
7736,4
8249,7
8409,6
8450,12
8482,7
8534,2
8612,3
8640,3
8857,6
8927,12
8950,5
9338,5
9475,4
9721,13
10013,5
10128,7
10605,9
10611,3
10882,2
11014,10
11287,3
