Passenger 1 ID,Passenger 2 ID,Number of flights together,From,To
117,172,3,2017-01-01,2017-01-29
126,2273,3,2017-02-13,2017-02-21
130,977,4,2017-02-13,2017-02-23
130,2458,5,2017-01-29,2017-02-23
184,2886,3,2017-01-22,2017-02-15
203,261,3,2017-01-01,2017-01-17
204,2968,3,2017-02-04,2017-02-10
205,2563,4,2017-01-21,2017-02-03
218,272,5,2017-01-01,2017-01-31
218,3151,4,2017-01-20,2017-01-31
229,1677,3,2017-01-21,2017-02-24
232,248,4,2017-01-01,2017-01-21
232,645,3,2017-01-13,2017-01-21
242,4640,3,2017-02-04,2017-02-13
247,3440,3,2017-01-23,2017-01-31
247,3471,3,2017-01-23,2017-01-31
256,275,3,2017-01-01,2017-01-17
274,2560,4,2017-01-21,2017-02-03
274,3112,3,2017-01-13,2017-01-21
281,3475,3,2017-01-23,2017-01-31
286,3134,3,2017-01-20,2017-01-29
290,755,3,2017-01-23,2017-02-15
299,1645,4,2017-01-21,2017-02-03
304,333,3,2017-01-01,2017-01-13
309,749,4,2017-01-04,2017-02-17
313,760,3,2017-01-04,2017-01-12
324,3425,3,2017-01-17,2017-02-28
331,1300,4,2017-01-04,2017-02-03
339,387,3,2017-01-01,2017-01-08
362,752,4,2017-01-04,2017-01-17
382,727,4,2017-01-04,2017-02-17
385,3472,3,2017-02-17,2017-02-27
415,610,3,2017-01-24,2017-02-03
416,1625,3,2017-01-10,2017-01-24
429,438,4,2017-01-01,2017-02-26
437,1323,4,2017-02-04,2017-02-26
446,4674,4,2017-02-04,2017-02-28
456,3039,4,2017-01-24,2017-02-27
461,1087,3,2017-01-24,2017-02-14
490,2586,4,2017-01-21,2017-02-03
490,3169,3,2017-01-24,2017-02-03
515,588,3,2017-01-02,2017-01-20
578,588,3,2017-01-02,2017-01-20
609,3461,3,2017-01-23,2017-01-31
628,679,4,2017-01-02,2017-01-29
631,3119,3,2017-01-15,2017-02-06
650,3137,3,2017-01-13,2017-01-21
679,3193,4,2017-01-20,2017-01-31
684,2521,4,2017-01-21,2017-02-03
692,1248,3,2017-01-21,2017-02-04
702,777,4,2017-01-02,2017-02-15
702,782,3,2017-01-02,2017-01-08
732,796,3,2017-01-02,2017-01-08
736,754,3,2017-01-02,2017-01-08
743,761,5,2017-01-02,2017-01-12
748,789,3,2017-01-02,2017-01-08
755,762,6,2017-01-02,2017-01-17
756,757,3,2017-01-02,2017-01-08
758,3455,3,2017-02-17,2017-02-23
761,1026,3,2017-01-04,2017-01-12
763,1095,7,2017-01-04,2017-01-31
770,800,3,2017-01-02,2017-01-08
772,3483,4,2017-01-17,2017-01-31
774,1053,3,2017-01-04,2017-01-12
781,1021,3,2017-01-04,2017-01-12
787,789,3,2017-01-02,2017-01-08
791,793,5,2017-01-02,2017-01-12
792,793,5,2017-01-02,2017-01-12
801,838,3,2017-01-02,2017-01-27
802,848,3,2017-01-02,2017-01-27
847,862,3,2017-01-02,2017-01-27
847,897,4,2017-01-02,2017-02-17
876,891,4,2017-01-02,2017-02-17
907,2988,3,2017-01-25,2017-02-20
912,920,5,2017-01-02,2017-02-23
927,934,3,2017-01-02,2017-01-25
928,4399,4,2017-02-07,2017-03-01
930,2816,3,2017-02-04,2017-02-10
933,4029,3,2017-02-07,2017-02-26
934,960,3,2017-01-02,2017-01-25
937,969,3,2017-01-02,2017-01-25
941,1384,3,2017-02-13,2017-02-21
945,961,3,2017-01-02,2017-02-04
967,1332,3,2017-01-25,2017-02-20
972,3563,3,2017-02-13,2017-02-21
988,1358,4,2017-02-13,2017-02-23
1026,1095,5,2017-01-02,2017-01-12
1035,1044,5,2017-01-02,2017-01-12
1082,4057,3,2017-02-20,2017-02-25
1217,1279,3,2017-01-03,2017-01-10
1247,2563,3,2017-01-26,2017-02-28
1247,2674,4,2017-01-13,2017-02-03
1248,1482,4,2017-02-02,2017-02-10
1252,1274,4,2017-01-03,2017-02-23
1269,2570,4,2017-01-26,2017-02-11
1293,2568,3,2017-01-24,2017-02-03
1303,1393,4,2017-01-03,2017-02-26
1310,1322,6,2017-01-03,2017-02-26
1310,1666,3,2017-02-04,2017-02-10
1310,1696,3,2017-02-04,2017-02-10
1313,3578,4,2017-02-13,2017-02-23
1314,4353,4,2017-02-07,2017-03-01
1323,2789,3,2017-02-04,2017-02-10
1337,4364,4,2017-02-07,2017-03-01
1358,2963,3,2017-02-13,2017-02-21
1365,1396,3,2017-01-03,2017-02-15
1367,2959,4,2017-01-25,2017-02-10
1370,2789,3,2017-02-04,2017-02-10
1378,1508,3,2017-01-25,2017-02-10
1387,3624,3,2017-02-13,2017-02-21
1391,2776,3,2017-02-04,2017-02-10
1414,1443,4,2017-01-04,2017-02-13
1432,2941,3,2017-02-04,2017-02-10
1482,4080,4,2017-02-07,2017-03-01
1536,1574,3,2017-01-07,2017-02-23
1569,3933,3,2017-01-22,2017-02-03
1576,3989,3,2017-01-22,2017-02-03
1581,3169,3,2017-01-26,2017-02-27
1628,1685,3,2017-01-07,2017-02-17
1652,3184,3,2017-01-24,2017-02-14
1686,3089,3,2017-01-22,2017-02-18
1693,3146,3,2017-01-24,2017-02-03
1808,2781,4,2017-01-20,2017-02-28
1827,1877,4,2017-01-08,2017-02-13
1830,2781,3,2017-01-20,2017-02-27
1855,1897,4,2017-01-08,2017-02-13
1859,1894,3,2017-01-08,2017-02-18
1884,4609,3,2017-02-07,2017-02-28
1884,4614,3,2017-02-07,2017-02-28
1905,1964,3,2017-01-08,2017-01-14
1906,1943,3,2017-01-08,2017-01-14
1909,1912,3,2017-01-08,2017-01-14
1915,1983,3,2017-01-08,2017-01-14
1916,1960,4,2017-01-08,2017-02-13
1918,1924,3,2017-01-08,2017-01-14
1918,1937,3,2017-01-08,2017-01-14
1918,1950,3,2017-01-08,2017-01-14
1922,1954,3,2017-01-08,2017-01-14
1926,1934,3,2017-01-08,2017-01-14
1928,1953,3,2017-01-08,2017-01-14
1928,1981,3,2017-01-08,2017-01-14
1929,1941,3,2017-01-08,2017-01-14
1929,1949,3,2017-01-08,2017-01-14
1930,1984,3,2017-01-08,2017-01-14
1932,1989,3,2017-01-08,2017-01-14
